testId,FN,picFN,wordFN,faceFN,FP,picFP,wordFP,faceFP,TN,picTN,wordTN,faceTN,TP,picTP,pic-accuracy,wordTP,faceTP,video,diffCalm,diffHappy,CalmLevel,PositiveLevel,calm minus positive,userId,age,gender,englishLevel,hand,FP+TN,FN+TP
1,0,0,0,0,0,0,0,0,1,1,1,1,1,1,1,1,1,stress1,3,-3,6,3,3,1,29,male,native language,right,1,1
4,0.166666667,0,0,0.5,0.111111111,0.333333333,0,0,0.888888889,0.666666667,1,1,0.833333333,1,1,1,0.5,stress2,-1,2,5,5,0,1,29,male,native language,right,1,1
7,0.222222222,0,0,0.666666667,0,0,0,0,1,1,1,1,0.777777778,1,1,1,0.333333333,calm,-2,0,3,5,-2,1,29,male,native language,right,1,1
2,0,0,0,0,0.285714286,0.5,0,0.333333333,0.714285714,0.5,1,0.666666667,1,1,0.841018597,1,1,stress1,0,-4,6,5,1,3,36,male,native language,right,1,1
6,0,0,0,0,0.555555556,0.666666667,0.333333333,0.666666667,0.444444444,0.333333333,0.666666667,0.333333333,1,1,0.824864596,1,1,stress2,0,1,6,6,0,3,36,male,native language,right,1,1
13,0,0,0,0,0.333333333,0.428571429,0.142857143,0.428571429,0.666666667,0.571428571,0.857142857,0.571428571,1,1,1,1,1,calm,-2,2,4,8,-4,3,36,male,native language,right,1,1
3,0,0,0,0,0.428571429,0.714285714,0.285714286,0.285714286,0.571428571,0.285714286,0.714285714,0.714285714,1,1,1,1,1,calm,2,3,3,8,-5,2,36,male,native language,right,1,1
8,0.125,0,0.333333333,0,0.428571429,1,0,0.333333333,0.571428571,0,1,0.666666667,0.875,1,0.80139342,0.666666667,1,stress1,3,-3,6,5,1,2,36,male,native language,right,1,1
11,0,0,0,0,0.444444444,0.666666667,0.333333333,0.333333333,0.555555556,0.333333333,0.666666667,0.666666667,1,1,1,1,1,stress2,1,3,7,8,-1,2,36,male,native language,right,1,1
5,0,0,0,0,0.380952381,0.857142857,0,0.285714286,0.619047619,0.142857143,1,0.714285714,1,1,1,1,1,calm,0,1,3,6,-3,4,46,male,native language,left,1,1
9,0,0,0,0,0.428571429,0.5,0,0.666666667,0.571428571,0.5,1,0.333333333,1,1,0.841018597,1,1,stress1,4,-3,7,3,4,4,46,male,native language,left,1,1
10,0,0,0,0,0.222222222,0.333333333,0,0.333333333,0.777777778,0.666666667,1,0.666666667,1,1,1,1,1,stress2,0,1,7,4,3,4,46,male,native language,left,1,1
12,0,0,0,0,0.285714286,1,0,0,0.714285714,0,1,1,1,1,0.23506252,1,1,stress1,6,-5,7,3,4,5,25,male,native language,right,1,1
14,0,0,0,0,0.444444444,1,0.333333333,0,0.555555556,0,0.666666667,1,1,1,0.824864596,1,1,stress2,1,-1,8,2,6,5,25,male,native language,right,1,1
16,0.222222222,0,0,0.666666667,0.333333333,0.857142857,0.142857143,0,0.666666667,0.142857143,0.857142857,1,0.777777778,1,1,1,0.333333333,calm,-4,6,4,8,-4,5,25,male,native language,right,1,1
15,0.222222222,0,0.333333333,0.333333333,0.523809524,1,0,0.571428571,0.476190476,0,1,0.428571429,0.777777778,1,1,0.666666667,0.666666667,calm,0,0,3,7,-4,6,55,male,native language,left,1,1
17,0,0,0,0,0.714285714,1,0,1,0.285714286,0,1,0,1,1,1,1,1,stress1,2,0,5,7,-2,6,55,male,native language,left,1,1
19,0,0,0,0,0.333333333,0.333333333,0,0.666666667,0.666666667,0.666666667,1,0.333333333,1,1,0.824864596,1,1,stress2,-3,1,2,8,-6,6,55,male,native language,left,1,1
18,0,0,0,0,0.285714286,1,0,0,0.714285714,0,1,1,1,1,1,1,1,stress1,3,0,5,6,-1,7,57,male,native language,right,1,1
20,0,0,0,0,0.444444444,1,0.333333333,0,0.555555556,0,0.666666667,1,1,1,1,1,1,stress2,-3,0,2,6,-4,7,57,male,native language,right,1,1
24,0,0,0,0,0.333333333,0.714285714,0.142857143,0.142857143,0.666666667,0.285714286,0.857142857,0.857142857,1,1,1,1,1,calm,2,0,4,6,-2,7,57,male,native language,right,1,1
21,0,0,0,0,0.19047619,0.571428571,0,0,0.80952381,0.428571429,1,1,1,1,1,1,1,calm,0,0,1,9,-8,8,33,male,native language,right,1,1
22,0,0,0,0,0.285714286,0.5,0,0.333333333,0.714285714,0.5,1,0.666666667,1,1,1,1,1,stress1,5,-6,6,3,3,8,33,male,native language,right,1,1
25,0,0,0,0,0.444444444,0.666666667,0.333333333,0.333333333,0.555555556,0.333333333,0.666666667,0.666666667,1,1,1,1,1,stress2,-5,2,1,5,-4,8,33,male,native language,right,1,1
23,0,0,0,0,0.428571429,1,0,0.333333333,0.571428571,0,1,0.666666667,1,1,0.80139342,1,1,stress1,1,0,4,6,-2,9,31,male,native language,left,1,1
26,0,0,0,0,0.444444444,1,0.333333333,0,0.555555556,0,0.666666667,1,1,1,1,1,1,stress2,0,0,4,6,-2,9,31,male,native language,left,1,1
27,0.111111111,0,0,0.333333333,0.428571429,1,0.142857143,0.142857143,0.571428571,0,0.857142857,0.857142857,0.888888889,1,1,1,0.666666667,calm,0,0,4,6,-2,9,31,male,native language,left,1,1
28,0,0,0,0,0.428571429,1,0,0.285714286,0.571428571,0,1,0.714285714,1,1,1,1,1,calm,1,-2,2,5,-3,10,33,male,native language,left,1,1
29,0,0,0,0,0.571428571,1,0,0.666666667,0.428571429,0,1,0.333333333,1,1,0.80139342,1,1,stress1,4,0,6,5,1,10,33,male,native language,left,1,1
