testId,userId,startTime,endTime
1,1,4/22/2019 12:19,4/22/2019 12:20
2,3,4/22/2019 12:28,4/22/2019 12:30
3,2,4/22/2019 12:28,4/22/2019 12:30
4,1,4/22/2019 12:21,4/22/2019 12:22
5,4,4/22/2019 12:29,4/22/2019 12:31
6,3,4/22/2019 12:31,4/22/2019 12:32
7,1,4/22/2019 12:23,4/22/2019 12:24
8,2,4/22/2019 12:32,4/22/2019 12:33
9,4,4/22/2019 12:32,4/22/2019 12:33
10,4,4/22/2019 12:34,4/22/2019 12:35
11,2,4/22/2019 12:34,4/22/2019 12:36
12,5,4/22/2019 12:35,4/22/2019 12:37
13,3,4/22/2019 12:33,4/22/2019 12:37
14,5,4/22/2019 12:38,4/22/2019 12:40
15,6,4/22/2019 12:40,4/22/2019 12:44
16,5,4/22/2019 12:41,4/22/2019 12:46
17,6,4/22/2019 12:45,4/22/2019 12:47
18,7,4/22/2019 12:44,4/22/2019 12:46
19,6,4/22/2019 12:48,4/22/2019 12:49
20,7,4/22/2019 12:48,4/22/2019 12:49
21,8,4/22/2019 12:49,4/22/2019 12:51
22,8,4/22/2019 12:52,4/22/2019 12:53
23,9,4/22/2019 12:52,4/22/2019 12:53
24,7,4/22/2019 12:51,4/22/2019 12:53
25,8,4/22/2019 12:54,4/22/2019 12:55
26,9,4/22/2019 12:54,4/22/2019 12:55
27,9,4/22/2019 12:56,4/22/2019 12:57
28,10,4/22/2019 13:00,4/22/2019 13:05
29,10,4/22/2019 13:06,4/22/2019 13:07
30,10,4/22/2019 13:08,4/22/2019 13:09
31,13,4/22/2019 13:33,4/22/2019 13:34
32,12,4/22/2019 13:32,4/22/2019 13:35
33,15,4/22/2019 13:34,4/22/2019 13:35
34,13,4/22/2019 13:35,4/22/2019 13:36
35,14,4/22/2019 13:33,4/22/2019 13:36
36,15,4/22/2019 13:36,4/22/2019 13:37
37,12,4/22/2019 13:36,4/22/2019 13:37
38,13,4/22/2019 13:37,4/22/2019 13:38
39,14,4/22/2019 13:37,4/22/2019 13:39
40,12,4/22/2019 13:38,4/22/2019 13:39
41,15,4/22/2019 13:38,4/22/2019 13:39
42,14,4/22/2019 13:40,4/22/2019 13:41
43,16,4/22/2019 13:39,4/22/2019 13:41
44,17,4/22/2019 13:40,4/22/2019 13:42
45,14,4/22/2019 13:42,4/22/2019 13:43
46,16,4/22/2019 13:42,4/22/2019 13:43
47,17,4/22/2019 13:43,4/22/2019 13:44
48,16,4/22/2019 13:44,4/22/2019 13:45
49,17,4/22/2019 13:45,4/22/2019 13:46
50,19,4/22/2019 13:51,4/22/2019 13:53
51,19,4/22/2019 13:55,4/22/2019 13:57
52,21,4/22/2019 13:58,4/22/2019 14:00
53,19,4/22/2019 13:58,4/22/2019 14:02
54,21,4/22/2019 14:02,4/22/2019 14:03
55,22,4/22/2019 14:08,4/22/2019 14:12
56,22,4/22/2019 14:13,4/22/2019 14:14
57,22,4/22/2019 14:16,4/22/2019 14:17
58,24,4/23/2019 7:48,4/23/2019 7:50
59,23,4/23/2019 7:49,4/23/2019 7:50
60,25,4/23/2019 7:49,4/23/2019 7:51
61,24,4/23/2019 7:51,4/23/2019 7:52
63,26,4/23/2019 7:50,4/23/2019 7:53
64,24,4/23/2019 7:53,4/23/2019 7:54
65,25,4/23/2019 7:52,4/23/2019 7:54
66,23,4/23/2019 7:53,4/23/2019 7:54
67,26,4/23/2019 7:55,4/23/2019 7:56
68,25,4/23/2019 7:55,4/23/2019 7:57
69,26,4/23/2019 7:57,4/23/2019 7:59
70,27,4/23/2019 8:05,4/23/2019 8:08
71,28,4/23/2019 8:06,4/23/2019 8:09
72,27,4/23/2019 8:09,4/23/2019 8:11
73,27,4/23/2019 8:12,4/23/2019 8:14
74,28,4/23/2019 8:13,4/23/2019 8:14
75,29,4/23/2019 8:15,4/23/2019 8:16
76,28,4/23/2019 8:16,4/23/2019 8:17
77,29,4/23/2019 8:17,4/23/2019 8:17
78,29,4/23/2019 8:18,4/23/2019 8:19
79,31,4/23/2019 8:30,4/23/2019 8:31
80,31,4/23/2019 8:32,4/23/2019 8:32
81,31,4/23/2019 8:33,4/23/2019 8:34
82,32,4/23/2019 8:47,4/23/2019 8:48
83,32,4/23/2019 8:52,4/23/2019 8:53
62,23,4/23/2019 7:51,4/23/2019 7:52
